State,Status of Abortion,Notes,2024 state constitutional amendment protecting abortion beyond current law
Alabama,Abortion banned,"State abortion ban went into effect June 24, 2022",
Alaska,No gestational limits,"State has no gestational limits. <br><br> 
In 1997, the Alaska Supreme Court <a href=""https://law.justia.com/cases/alaska/supreme-court/1997/s-7417-1.html"" target=""_blank"" rel=""nofollow noopener""> that the state constitution protects the right to abortion.</a>",
Arizona,Gestational limit between 15 and 22 weeks LMP,"Current gestational limit is 15 weeks LMP. <br><br>
On April 9th, 2024, the State’s Supreme Court upheld the 1864 pre-Roe total ban, but it later delayed its enforcement through at least September 27, 2024. On May 2, 2024, the Governor signed a law repealing the pre-Roe ban, which will go into effect on September 13, 2024 (90 days after June 15, the day the legislative session adjourned). This means the pre-Roe ban will not go into effect before its repeal doe. <br><br>
On November 5, 2024, voters passed a state constitutional amendment which will amend the state constitution to protect abortion up until viability. ",State has passed a constitutional amendment protecting abortion access
Arkansas,Abortion banned,"Trigger law went into effect June 24, 2022, after Attorney General certified decision",
California,Gestational limit at or near viability,"Current gestational limit is fetal viability. <br> <br>
State constitution protects the right to abortion. In 2022, California voters approved a constitutional amendment that protects the right to make reproductive decisions, including the right to choose to have an abortion.",
Colorado,No gestational limits,"State has no gestational limits.<br><br>
State law protects the right to abortion. On November 5, 2024, voters ",
Connecticut,Gestational limit at or near viability,"Current gestational limit is fetal viability. <br><br>
State law protects the right to abortion",
Delaware,Gestational limit at or near viability,"Current gestational limit is fetal viability. <br><br>
State law protects the right to abortion",
District of Columbia,No gestational limits,"D.C. has no gestational limit. <br><br>
D.C. law protects the right to abortion",
Florida,Gestational limit between 6 and 12 weeks LMP,"The state's 6-week LMP ban is in effect as of May 1, 2024. <br>

On April 1, 2024, the State Supreme Court ruled that the state constitution does not protect the right to abortion, and that the State's then 15-week ban was constitutional. The State's 6-week LMP ban, which had been signed by the Governor on 4/13/2023, contained language stating that it would only go into effect after 30 days after the State Supreme Court ruled on the constitutionality of the 15-week ban.<br>

On November 5, 2024, Floridians voted on a ballot measure that would have amended the state constitution to protect abortion up until viability. While the measure got over 50% of votes, it failed to meet the state requirement of 60% ",
Georgia,Gestational limit between 6 and 12 weeks LMP,"Current gestational limit is 6 weeks LMP<br><br>
On October 7, the State Supreme Court reinstated the 6 week LMP ban that had been blocked by the Superior Court of Fulton County on September 30, 2024 while litigation is ongoing. ",
Hawaii,Gestational limit at or near viability,"Current gestational limit is fetal viability. <br><br>
State law protects the right to abortion",
Idaho,Abortion banned,"State trigger law in effect on August 25, 2022, 30 days after SCOTUS judgement. A judge blocked part of the state's abortion ban on August 24, 2022, ruling that doctors cannot be prosecuted for performing abortions in medical emergencies. ",
Illinois,Gestational limit at or near viability,"Current gestational limit is fetal viability. <br><br>
State law protects the right to abortion",
Indiana,Abortion banned,The state's abortion ban went into effect on 8/21 after the State Supreme Court certified its 6/30/23 ruling that abortion ban does not violate the state constitution.,
Iowa,Gestational limit between 6 and 12 weeks LMP,"The state's 6-week LMP limit is in effect as of July 29, 2024.<br><br>
On June 28, 2024 the Iowa Supreme Court ruled that the State's 6-week ban, which had been temporarily blocked since 7/17/2023, could go into effect. ",
Kansas,Gestational limit between 15 and 22 weeks LMP,"Current gestational limit is 22 weeks LMP <br><br>
In 2019, the Kansas Supreme Court <a href=""https://law.justia.com/cases/kansas/supreme-court/2019/114153.html"" target=""_blank"" rel=""nofollow noopener"">recognized the right to abortion</a> under the state constitution.",
