state,month,median,lowerbound,upperbound,source,notes,publishdate
US,1/15/2023,88390,87240,89730,https://www.guttmacher.org/monthly-abortion-provision-study or https://osf.io/k4x7t/,"All estimates rounded to nearest 10. Estimates include data on procedural and medication abortions provided at brick-and-mortar health facilities (such as clinics or doctor's offices), as well as medication abortions provided via telehealth and virtual providers.",10/18/2024
US,2/15/2023,81620,80540,82870,https://www.guttmacher.org/monthly-abortion-provision-study or https://osf.io/k4x7t/,"All estimates rounded to nearest 10. Estimates include data on procedural and medication abortions provided at brick-and-mortar health facilities (such as clinics or doctor's offices), as well as medication abortions provided via telehealth and virtual providers.",10/18/2024
US,3/15/2023,94070,92840,95530,https://www.guttmacher.org/monthly-abortion-provision-study or https://osf.io/k4x7t/,"All estimates rounded to nearest 10. Estimates include data on procedural and medication abortions provided at brick-and-mortar health facilities (such as clinics or doctor's offices), as well as medication abortions provided via telehealth and virtual providers.",10/18/2024
US,4/15/2023,84270,83160,85570,https://www.guttmacher.org/monthly-abortion-provision-study or https://osf.io/k4x7t/,"All estimates rounded to nearest 10. Estimates include data on procedural and medication abortions provided at brick-and-mortar health facilities (such as clinics or doctor's offices), as well as medication abortions provided via telehealth and virtual providers.",10/18/2024
US,5/15/2023,86910,85810,88270,https://www.guttmacher.org/monthly-abortion-provision-study or https://osf.io/k4x7t/,"All estimates rounded to nearest 10. Estimates include data on procedural and medication abortions provided at brick-and-mortar health facilities (such as clinics or doctor's offices), as well as medication abortions provided via telehealth and virtual providers.",10/18/2024
US,6/15/2023,87180,86040,88540,https://www.guttmacher.org/monthly-abortion-provision-study or https://osf.io/k4x7t/,"All estimates rounded to nearest 10. Estimates include data on procedural and medication abortions provided at brick-and-mortar health facilities (such as clinics or doctor's offices), as well as medication abortions provided via telehealth and virtual providers.",10/18/2024
US,7/15/2023,84980,83850,86290,https://www.guttmacher.org/monthly-abortion-provision-study or https://osf.io/k4x7t/,"All estimates rounded to nearest 10. Estimates include data on procedural and medication abortions provided at brick-and-mortar health facilities (such as clinics or doctor's offices), as well as medication abortions provided via telehealth and virtual providers.",10/18/2024
US,8/15/2023,89230,88020,90590,https://www.guttmacher.org/monthly-abortion-provision-study or https://osf.io/k4x7t/,"All estimates rounded to nearest 10. Estimates include data on procedural and medication abortions provided at brick-and-mortar health facilities (such as clinics or doctor's offices), as well as medication abortions provided via telehealth and virtual providers.",10/18/2024
US,9/15/2023,82710,81470,84080,https://www.guttmacher.org/monthly-abortion-provision-study or https://osf.io/k4x7t/,"All estimates rounded to nearest 10. Estimates include data on procedural and medication abortions provided at brick-and-mortar health facilities (such as clinics or doctor's offices), as well as medication abortions provided via telehealth and virtual providers.",10/18/2024
US,10/15/2023,84280,83240,85550,https://www.guttmacher.org/monthly-abortion-provision-study or https://osf.io/k4x7t/,"All estimates rounded to nearest 10. Estimates include data on procedural and medication abortions provided at brick-and-mortar health facilities (such as clinics or doctor's offices), as well as medication abortions provided via telehealth and virtual providers.",10/18/2024
US,11/15/2023,82000,80910,83270,https://www.guttmacher.org/monthly-abortion-provision-study or https://osf.io/k4x7t/,"All estimates rounded to nearest 10. Estimates include data on procedural and medication abortions provided at brick-and-mortar health facilities (such as clinics or doctor's offices), as well as medication abortions provided via telehealth and virtual providers.",10/18/2024
US,12/15/2023,86910,85760,88270,https://www.guttmacher.org/monthly-abortion-provision-study or https://osf.io/k4x7t/,"All estimates rounded to nearest 10. Estimates include data on procedural and medication abortions provided at brick-and-mortar health facilities (such as clinics or doctor's offices), as well as medication abortions provided via telehealth and virtual providers.",10/18/2024
US,1/15/2024,96540,95270,97990,https://www.guttmacher.org/monthly-abortion-provision-study or https://osf.io/k4x7t/,"All estimates rounded to nearest 10. Estimates include data on procedural and medication abortions provided at brick-and-mortar health facilities (such as clinics or doctor's offices), as well as medication abortions provided via telehealth and virtual providers.",10/18/2024
US,2/15/2024,89380,88240,90750,https://www.guttmacher.org/monthly-abortion-provision-study or https://osf.io/k4x7t/,"All estimates rounded to nearest 10. Estimates include data on procedural and medication abortions provided at brick-and-mortar health facilities (such as clinics or doctor's offices), as well as medication abortions provided via telehealth and virtual providers.",10/18/2024
US,3/15/2024,93110,91870,94530,https://www.guttmacher.org/monthly-abortion-provision-study or https://osf.io/k4x7t/,"All estimates rounded to nearest 10. Estimates include data on procedural and medication abortions provided at brick-and-mortar health facilities (such as clinics or doctor's offices), as well as medication abortions provided via telehealth and virtual providers.",10/18/2024
